key,ar,de,en,es,fr,it,ja,nl,pl,pt
action_prefix,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.,org.xcontest.XCTrack.Event.
activate_bot,تفعيل البوت,Bot aktivieren,Activate Bot,Activar Bot,Activer le Bot,Attiva Bot,ボットを有効化,Activeer Bot,Aktywuj Bota,Ativar Bot
activating_bot,جاري تفعيل البوت...,Bot aktivieren...,Activating bot...,Activando el bot...,Activation du bot en cours...,Attivazione del bot in corso...,ボットを有効化しています...,Bot wordt geactiveerd...,Aktywowanie bota...,Ativando o bot...
add_bot_to_chat,إضافة البوت إلى الدردشة,Bot zum Chat hinzufügen,Add Bot to Chat,Añadir Bot al Chat,Ajouter le Bot à la Discussion,Aggiungi Bot alla Chat,チャットにボットを追加,Voeg Bot toe aan Chat,Dodaj Bota do Czat,Adicionar Bot ao Chat
add_bot_to_chat_title,إضافة البوت إلى الدردشة,Bot zum Chat hinzufügen,Add Bot to Chat,Añadir Bot al Chat,Ajouter le Bot à la Discussion,Aggiungi Bot alla Chat,チャットにボットを追加,Voeg Bot toe aan Chat,Dodaj Bota do Czat,Adicionar Bot ao Chat
add_bot_to_group,إضافة البوت إلى مجموعة,Bot zur Gruppe hinzufügen,Add Bot to Group,Añadir Bot a un Grupo,Ajouter le Bot à un Groupe,Aggiungi Bot a un Gruppo,グループにボットを追加,Voeg Bot toe aan Groep,Dodaj Bota do Grupy,Adicionar Bot ao Grupo
add_bot_to_group_prompt,اختر مجموعة في تيليجرام لإضافة البوت.,"Wähle eine Gruppe in Telegram, um den Bot hinzuzufügen.",Select a group in Telegram to add the bot.,Selecciona un grupo en Telegram para añadir el bot.,Sélectionnez un groupe sur Telegram pour ajouter le bot.,Seleziona un gruppo su Telegram per aggiungere il bot.,ボットを追加するグループをTelegramで選択してください。,Selecteer een groep in Telegram om de bot toe te voegen.,"Wybierz grupę w Telegramie, aby dodać bota.",Selecione um grupo no Telegram para adicionar o bot.
add_bot_to_group_title,إضافة البوت إلى مجموعة,Bot zur Gruppe hinzufügen,Add Bot to Group,Añadir Bot a un Grupo,Ajouter le Bot à un Groupe,Aggiungi Bot a un Gruppo,グループにボットを追加,Voeg Bot toe aan Groep,Dodaj Bota do Grupy,Adicionar Bot ao Grupo
add_bot_to_new_group_description,أضف البوت إلى مجموعة جديدة وفعّله باستخدام /start,Füge den Bot zu einer neuen Gruppe hinzu und aktiviere ihn mit /start,Add the bot to a new group and activate it with /start,Añade el bot a un nuevo grupo y actívalo con /start,Ajoutez le bot à un nouveau groupe et activez-le avec /start,Aggiungi il bot a un nuovo gruppo e attivalo con /start,新しいグループにボットを追加し、/startで有効化,Voeg de bot toe aan een nieuwe groep en activeer deze met /start,Dodaj bota do nowej grupy i aktywuj go za pomocą /start,Adicione o bot a um novo grupo e ative-o com /start
add_config,إضافة تكوين,Konfiguration hinzufügen,Add Configuration,Añadir Configuración,Ajouter une Configuration,Aggiungi Configurazione,設定を追加,Voeg Configuratie toe,Dodaj konfigurację,Adicionar Configuração
